Log_Number,Timestamp,Temperature_K,Sensor_V,dT_dt_20sec
1,2026-07-11 11:21:48.822,299.8435753127561,0.5005120160955062,
2,2026-07-11 11:21:49.827,299.791737551025,0.5004934261291547,
3,2026-07-11 11:21:50.831,299.662045753555,0.5007560122782658,
4,2026-07-11 11:21:51.837,299.7380011164711,0.5006412832254349,
5,2026-07-11 11:21:52.841,299.3503437653649,0.5013952562873409,
6,2026-07-11 11:21:53.846,299.2668030209676,0.5013449940193211,
7,2026-07-11 11:21:54.850,299.12816087822216,0.5015953301298547,
8,2026-07-11 11:21:55.855,299.0229996316439,0.501745405718272,
9,2026-07-11 11:21:56.856,298.72708900130004,0.5023904583684278,
10,2026-07-11 11:21:57.858,298.6614955651338,0.5026697439736069,
11,2026-07-11 11:21:58.860,298.49990410760114,0.5027914403262103,
12,2026-07-11 11:21:59.865,298.3907114251209,0.5030769313849984,
13,2026-07-11 11:22:00.870,298.17991143156434,0.5033535446050876,
14,2026-07-11 11:22:01.874,297.9216986272023,0.5039480048915532,
15,2026-07-11 11:22:02.877,297.83854910835913,0.5039191636385453,
16,2026-07-11 11:22:03.882,297.6137893948209,0.5045676217954016,
17,2026-07-11 11:22:04.883,297.4563037908271,0.5046370908155045,
18,2026-07-11 11:22:05.888,297.38774247483354,0.5047588731376484,
19,2026-07-11 11:22:06.893,297.16695637399715,0.505184349880695,
20,2026-07-11 11:22:07.898,297.02334047874444,0.5054548074214192,
21,2026-07-11 11:22:08.903,296.90888603072455,0.5056579149252558,-2.8828515203004486
22,2026-07-11 11:22:09.908,296.73999046335894,0.5058161585634651,-2.922055290196056
23,2026-07-11 11:22:10.909,296.5280101890833,0.5064051009291015,-3.2099909273877643
24,2026-07-11 11:22:11.914,296.33531139394546,0.506603098167286,-3.0150323714194656
25,2026-07-11 11:22:12.919,296.285597305198,0.5066209270968647,-2.9812057157695904
26,2026-07-11 11:22:13.923,296.1706113021446,0.5070325726252866,-2.957549576077554
27,2026-07-11 11:22:14.926,295.9473753763513,0.5072430761559307,-3.0756242552926096
28,2026-07-11 11:22:15.931,295.74693117525015,0.5075363980529529,-2.98015782604989
29,2026-07-11 11:22:16.936,295.5269672577761,0.5080649220455291,-3.134528307357698
30,2026-07-11 11:22:17.941,295.41138071937576,0.5082239912465432,-3.088523388225383
31,2026-07-11 11:22:18.943,295.3642006949663,0.5083674096362346,-3.026510730154598
32,2026-07-11 11:22:19.944,295.17272046871153,0.5085357379097417,-3.0071909628528033
33,2026-07-11 11:22:20.949,294.9354839656328,0.5090471366664191,-2.9862146615695337
34,2026-07-11 11:22:21.954,294.79706705881495,0.5093595018501677,-3.041482049544186
35,2026-07-11 11:22:22.960,294.67275659057697,0.5094618091959104,-2.941032804243946
36,2026-07-11 11:22:23.960,294.4908345676588,0.5099013546559625,-2.965469223168327
37,2026-07-11 11:22:24.965,294.30165163442103,0.5102756644171372,-3.08609084041251
