Log_Number,Timestamp,Temperature_K,Sensor_V,dT_dt_20sec
1,2026-07-11 11:24:32.201,300.06948938255636,0.49988916241330633,
2,2026-07-11 11:24:33.201,299.8829764788614,0.5004694981420889,
3,2026-07-11 11:24:34.206,299.59553784503515,0.5008573245899894,
4,2026-07-11 11:24:35.211,299.6384757486014,0.5009530470836073,
5,2026-07-11 11:24:36.212,299.428561349535,0.5011057094677673,
6,2026-07-11 11:24:37.215,299.2069594268349,0.5016394674840401,
7,2026-07-11 11:24:38.220,299.05211612190425,0.5017893652979122,
8,2026-07-11 11:24:39.221,298.9452492497047,0.5020827102104364,
9,2026-07-11 11:24:40.226,298.69437317011307,0.5024784802843676,
10,2026-07-11 11:24:41.232,298.54100538020845,0.5027521778066752,
11,2026-07-11 11:24:42.237,298.3818698597173,0.502986464401604,
12,2026-07-11 11:24:43.238,298.3901052326239,0.5028997999661763,
13,2026-07-11 11:24:44.243,298.04089584011894,0.5037419782421662,
14,2026-07-11 11:24:45.244,298.14590430720403,0.5033900673245537,
15,2026-07-11 11:24:46.246,297.76462754673435,0.5041278282636816,
16,2026-07-11 11:24:47.248,297.67203790434826,0.5044368943803563,
17,2026-07-11 11:24:48.253,297.4570664688976,0.5045841288824047,
18,2026-07-11 11:24:49.257,297.31725136890543,0.5046716926526896,
19,2026-07-11 11:24:50.258,297.0386511728659,0.5053287300350014,
20,2026-07-11 11:24:51.263,296.9915207939481,0.5054594320027305,
21,2026-07-11 11:24:52.268,296.8661687583515,0.5057977242552268,-3.0168077205099166
22,2026-07-11 11:24:53.272,296.75076900848495,0.5057665612430725,-2.8447688365502017
23,2026-07-11 11:24:54.278,296.5551870466649,0.5062281239136449,-3.0832887019365103
24,2026-07-11 11:24:55.283,296.385383021173,0.5065471909611607,-3.0431783283619893
25,2026-07-11 11:24:56.284,296.20635892096976,0.506902844822488,-3.0006005058651226
26,2026-07-11 11:24:57.289,296.11962794764736,0.5071006347757625,-2.932488174256889
27,2026-07-11 11:24:58.290,295.90044910753886,0.5074482731565519,-3.0448001421658546
28,2026-07-11 11:24:59.290,295.80103501948463,0.5075092949657982,-2.8933381506284377
29,2026-07-11 11:25:00.295,295.58304827056645,0.5079994820715686,-2.9579571096419954
30,2026-07-11 11:25:01.298,295.4617995373896,0.5081839372336936,-2.9200703223277173
31,2026-07-11 11:25:02.303,295.2442675636722,0.5084251933628022,-3.1458376689516854
32,2026-07-11 11:25:03.308,295.01850958635026,0.5090036498722496,-3.0223862537686728
33,2026-07-11 11:25:04.313,294.9142668679351,0.5092290066150403,-3.2316374392689227
34,2026-07-11 11:25:05.317,294.9112113888699,0.5090925316427279,-2.8534161578644444
35,2026-07-11 11:25:06.322,294.58696041944086,0.5097235644259591,-3.0850774849074014
36,2026-07-11 11:25:07.324,294.50540069705704,0.5098686043058074,-2.9516657718405668
37,2026-07-11 11:25:08.329,294.33195141289974,0.5101766868161459,-2.98529995600569
38,2026-07-11 11:25:09.334,294.0385622412691,0.510580008606517,-3.0000889315967925
